Model Number, Model Title                           , Year, Mainline Number, Series Title         , Series Number, Scale, Country
HYX61       , BATMAN & ROBIN BATMOBILE              , 2025, 002/250        , BATMAN               , 01/05        , 1:64 , Malaysia
HYX75       , KOWLOON'D HYPERVAN                    , 2025, 006/250        , HW METRO             , 01/05        , 1:64 , Malaysia
HYX67       , DRAFTNATOR                            , 2025, 014/250        , X-RAYCERS            , 02/10        , 1:64 , Malaysia
HYX60       , '94 AUDI AVANT RS2                    , 2025, 029/250        , HW: '70S VS. '90S    , 02/10        , 1:64 , Malaysia
HYX65       , THE VANSTER                           , 2025, 035/250        , HW ART CARS          , 03/10        , 1:64 , Malaysia
HYX59       , DMC DELOREAN                          , 2025, 036/250        , HW ART CARS          , 05/10        , 1:64 , Malaysia
HYW90       , PROTON SAGA                           , 2025, 038/250        , FACTORY FRESH        , 03/05        , 1:64 , Malaysia
HYX76       , MASERATI SHAMAL                       , 2025, 058/250        , HW METRO             , 04/05        , 1:64 , Malaysia
HYX78       , MERCEDES-AMG PETRONAS FORMULA ONE TEAM, 2025, 059/250        , TRACK ACES           , 01/05        , 1:64 , Malaysia
HYX64       , SUPERCHARGED                          , 2025, 060/250        , HW EV                , 05/10        , 1:64 , Malaysia
HYY06       , EL VIENTO                             , 2025, 065/250        , X-RAYCERS            , 06/10        , 1:64 , Malaysia
HYX71       , HW50 CONCEPT                          , 2025, 070/250        , ROD SQUAD            , 06/10        , 1:64 , Malaysia
HYX72       , PUNK ROD                              , 2025, 071/250        , HW MODIFIED          , 03/05        , 1:64 , Malaysia
HYX46       , CUPRA e-RACER                         , 2025, 072/250        , HW EV                , 04/10        , 1:64 , Malaysia
HYX73       , '71 LAMBORGHINI MIURA SV              , 2025, 078/250        , HW: '70S VS. '90S    , 06/10        , 1:64 , Malaysia
HYX74       , TOYOTA GR86 CUP                       , 2025, 079/250        , COMPACT KINGS        , 01/10        , 1:64 , Malaysia
HYX32       , AIN'T FARE                            , 2025, 088/250        , HW ART CARS          , 08/10        , 1:64 , Malaysia
HYX79       , MID MILL                              , 2025, 097/250        , ROD SQUAD            , 07/10        , 1:64 , Malaysia
HYW25       , HAKO TYPE D                           , 2025, 098/250        , HW J-IMPORTS         , 04/05        , 1:64 , Malaysia
HYX80       , HAKO TYPE D                           , 2025, 098/250        , HW J-IMPORTS         , 04/05        , 1:64 , Malaysia
HYY55       , LATER CRATER                          , 2025, 112/250        , HW REVERSE RAKE      , 03/05        , 1:64 , Malaysia
HYY69       , RRROADSTER                            , 2025, 128/250        , COMPACT KINGS        , 05/10        , 1:64 , Malaysia
HYW30       , LONG BLOC                             , 2025, 135/250        , HW ART CARS          , 09/10        , 1:64 , Malaysia
HYY97       , '19 CHEVY SILVERADO TRAIL BOSS LT     , 2025, 152/250        , HW DIRT              , 08/10        , 1:64 , Malaysia
HYY92       , FORD GT                               , 2025, 159/250        , HW MODIFIED          , 04/05        , 1:64 , Malaysia
HYY95       , '95 MAZDA RX-7 DRIFT                  , 2025, 163/250        , HW: '70S VS. '90S    , 09/10        , 1:64 , Malaysia
HYY96       , '70 DODGE HEMI CHALLENGER             , 2025, 164/250        , HW: '70S VS. '90S    , 10/10        , 1:64 , Malaysia
HYX42       , MATTEL DREAM MOBILE                   , 2025, 167/250        , HW CELEBRATION RACERS, 06/10        , 1:64 , Malaysia
JBB00       , '67 AUSTIN MINI VAN                   , 2025, 169/250        , HW ART CARS          , 10/10        , 1:64 , Malaysia
HYW36       , AMARU GTC                             , 2025, 171/250        , SAFARI MODE          , 04/05        , 1:64 , Malaysia
HYW32       , RENAULT ESPACE F1                     , 2025, 172/250        , HW MODIFIED          , 05/05        , 1:64 , Malaysia
JBB03       , 1978 DODGE LI'L RED EXPRESS TRUCK     , 2025, 173/250        , HW HOT TRUCKS        , 10/10        , 1:64 , Malaysia
JBB04       , '71 MUSTANG FUNNY CAR                 , 2025, 175/250        , MUSTANG 60           , 04/05        , 1:64 , Malaysia
HYW43       , HONDA MOTOCOMPO                       , 2025, 181/250        , HW MOTO              , 03/05        , 1:64 , Malaysia
HYW38       , BMW 635 CSi                           , 2025, 185/250        , WILD WIDEBODY        , 01/05        , 1:64 , Malaysia
JBB14       , GORDON MURRAY AUTOMOTIVE T.50s        , 2025, 190/250        , HW EXOTICS           , 03/05        , 1:64 , Malaysia
HYW34       , FERRARI SF90 STRADALE                 , 2025, 191/250        , FACTORY FRESH        , 05/05        , 1:64 , Malaysia
JBB31       , CZINGER 21C                           , 2025, 192/250        , PEAK PURSUIT         , 01/10        , 1:64 , Malaysia
HYX18       , '68 LOTUS TYPE 49                     , 2025, 193/250        , HW RACE DAY          , 08/10        , 1:64 , Malaysia
HYW42       , HOT WHEENGS                           , 2025, 197/250        , FAST FOODIE          , 05/05        , 1:64 , Malaysia
HKJ11       , 2023 NISSAN Z                         , 2023, 046/250        , HW J-IMPORTS         , 03/10        , 1:64 , Malaysia
HKG46       , PORSCHE 928S SAFARI                   , 2023, 208/250        , BAJA BLAZERS         , 05/10        , 1:64 , Malaysia
HCX91       , '94 BUGATTI EB110 SS                  , 2022, 065/250        , HW TURBO             , 05/10        , 1:64 , Malaysia
HCY30       , FORD MUSTANG MACH-E 1400              , 2022, 073/250        , HW GREEN SPEED       , 01/05        , 1:64 , Malaysia
HCT08       , LAMBORGHINI SIÁN FKP 37               , 2022, 085/250        , FACTORY FRESH        , 01/10        , 1:64 , Malaysia
HCX20       , GLORY CHASER                          , 2022, 123/250        , RETRO RACERS         , 07/10        , 1:64 , Malaysia
HCW47       , '17 FORD GT                           , 2022, 157/250        , HW TURBO             , 09/10        , 1:64 , Malaysia
HCV54       , BACK TO THE FUTURE TIME MACHINE       , 2022, 167/250        , HW SCREEN TIME       , 08/10        , 1:64 , Malaysia
HCW32       , NISSAN SKYLINE 2000GT-R LBWK          , 2022, 174/250        , HW J-IMPORTS         , 08/10        , 1:64 , Malaysia
HCV87       , CUSTOM '18 FORD MUSTANG GT            , 2022, 175/250        , SPOILER ALERT        , 05/05        , 1:64 , Malaysia
HCX62       , '95 MAZDA RX-7                        , 2022, 177/250        , HW DRIFT             , 02/05        , 1:64 , Malaysia
HCT11       , HONDA CIVIC CUSTOM                    , 2022, 204/250        , HW J-IMPORTS         , 10/10        , 1:64 , Malaysia
HCV35       , CORVETTE C6R                          , 2022, 233/250        , THEN AND NOW         , 06/10        , 1:64 , Malaysia
HCW30       , '15 DODGE CHALLENGER SRT              , 2022, 235/250        , MUSCLE MANIA         , 06/10        , 1:64 , Malaysia
HCT19       , ASTON MARTIN VANTAGE GTE              , 2022, 238/250        , HW EXOTICS           , 09/10        , 1:64 , Malaysia
HCY00       , MUSCLE AND BLOWN                      , 2022, 240/250        , HW DRIFT             , 05/05        , 1:64 , Malaysia
HCV81       , '81 CAMARO                            , 2022, 248/250        , THEN AND NOW         , 10/10        , 1:64 , Malaysia
GTC68       , NISSAN SKYLINE 2000 GT-R              , 2021, 180/250        , THEN AND NOW         , 09/10        , 1:64 , Malaysia
GTB07       , NISSAN SILVIA (S13)                   , 2021, 213/250        , HW J-IMPORTS         , 09/10        , 1:64 , Malaysia
GRX25       , '94 BUGATTI EB110 SS                  , 2021, 224/250        , HW EXOTICS           , 06/10        , 1:64 , Malaysia
